date,expenses
2017-12-22,804549
2017-12-25,569698
2017-12-26,488428
2017-12-27,212880
2017-12-28,335460
2017-12-29,813585
2018-01-01,578424
2018-01-02,432013
2018-01-03,202392
2018-01-04,325320
2018-01-05,702137
2018-01-08,573630
2018-01-09,477801
2018-01-10,302538
2018-01-11,582808
2018-01-12,620324
2018-01-15,501289
2018-01-16,393302
2018-01-17,388971
2018-01-18,486945
2018-01-19,649300
2018-01-22,642923
2018-01-23,483389
2018-01-24,295779
2018-01-25,610872
2018-01-26,634400
2018-01-29,592995
2018-01-30,436870
2018-01-31,282475
2018-02-01,556038
2018-02-02,719454
2018-02-05,590972
2018-02-06,569764
2018-02-07,317559
2018-02-08,647129
2018-02-09,632676
2018-02-12,591589
2018-02-13,480387
2018-02-14,311366
2018-02-15,606583
2018-02-16,632163
2018-02-19,595049
2018-02-20,492780
2018-02-21,284536
2018-02-22,630871
2018-02-23,634075
2018-02-26,628432
2018-02-27,548393
2018-02-28,312032
2018-03-01,713048
2018-03-02,702795
2018-03-05,733516
2018-03-06,569044
2018-03-07,311537
2018-03-08,718017
2018-03-09,723335
2018-03-12,677652
2018-03-13,525444
2018-03-14,303205
2018-03-15,705336
2018-03-16,702396
2018-03-19,668583
2018-03-20,517243
2018-03-21,313570
2018-03-22,714282
2018-03-23,680651
2018-03-26,671640
2018-03-27,527557
2018-03-28,297584
2018-03-29,695314
2018-03-30,690317
2018-04-02,668008
2018-04-03,469656
2018-04-04,312682
2018-04-05,710367
2018-04-06,688234
2018-04-09,669326
2018-04-10,501407
2018-04-11,301610
2018-04-12,668253
2018-04-13,661984
2018-04-16,649938
2018-04-17,486666
2018-04-18,333271
2018-04-19,706768
2018-04-20,654748
2018-04-23,658690
2018-04-24,493392
2018-04-25,298865
2018-04-26,699468
2018-04-27,666742
2018-04-30,680422
2018-05-01,559658
2018-05-02,292723
2018-05-03,709485
2018-05-04,674689
2018-05-07,723443
2018-05-08,533243
2018-05-09,301463
2018-05-10,710540
2018-05-11,702724
2018-05-14,708331
2018-05-15,514728
2018-05-16,354927
2018-05-17,706447
2018-05-18,713018
2018-05-21,701204
2018-05-22,549408
2018-05-23,291865
2018-05-24,700966
2018-05-25,712156
2018-05-28,702927
2018-05-29,574614
2018-05-30,203579
2018-05-31,403303
2018-06-01,911480
2018-06-04,759795
2018-06-05,528144
2018-06-06,300600
2018-06-07,740729
2018-06-08,690264
2018-06-11,734851
2018-06-12,504878
2018-06-13,334846
2018-06-14,721457
2018-06-15,729515
2018-06-18,713155
2018-06-19,483135
2018-06-20,300493
2018-06-21,744754
2018-06-22,700383
2018-06-25,724218
2018-06-26,605390
2018-06-27,298805
2018-06-28,708200
2018-06-29,739736
2018-07-02,673870
2018-07-03,549607
2018-07-04,308757
2018-07-05,712305
2018-07-06,427893
2018-07-09,818098
2018-07-10,531874
2018-07-11,317979
2018-07-12,734782
2018-07-13,661415
2018-07-16,725799
